age,workclass,fnlwgt,education,education_num,marital_status,occupation,relationship,race,sex,capital_gain,capital_loss,hours_per_week,native_country,income
25,Private,77516,Bachelors,13,Never-married,Adm-clerical,Not-in-family,White,Male,2174,0,40,United-States,0
45,Self-emp-not-inc,83311,HS-grad,9,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,13,United-States,0
39,Private,215646,Some-college,10,Divorced,Handlers-cleaners,Not-in-family,Black,Male,0,0,40,United-States,0
28,Private,234721,Bachelors,13,Married-civ-spouse,Prof-specialty,Wife,Black,Female,0,0,40,India,0
50,State-gov,338409,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,14084,0,60,United-States,1
38,Private,284582,HS-grad,9,Divorced,Handlers-cleaners,Not-in-family,Black,Female,0,0,35,India,0
41,Self-emp-not-inc,160187,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Male,0,0,50,United-States,0
33,Private,169593,Some-college,10,Never-married,Sales,Unmarried,White,Female,0,0,40,Mexico,0
22,Private,190709,HS-grad,9,Never-married,Sales,Unmarried,Black,Female,0,0,20,India,0
60,State-gov,187454,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,Asian-Pac-Islander,Male,0,0,45,United-States,1
